Station (alphabetical by borough),,Boro,2014,2015,2016,2017,2018,2019,2018-2019 Change,,2019 Rank
Manhattan,,,,,,,,,,,
1 Av (L),,M,"24,286","23,789","23,195","21,823","20,998","18,393","-2,605",-12.40%,78
103 St (1),,M,"13,318","13,309","13,246","12,818","12,569","12,005",-564,-4.50%,129
103 St (6),64,M,"16,641","13,057","13,994","14,337","13,285","13,218",-67,-0.50%,117
"103 St (B,C)",,M,"4,832","4,800","4,776","4,674","5,444","4,724",-720,-13.20%,301
110 St (6),,M,"12,452","13,409","13,341","11,932","10,851","10,580",-271,-2.50%,150
"116 St (2,3)",,M,"11,787","12,196","12,090","11,553","10,707","10,592",-115,-1.10%,149
116 St (6),,M,"16,674","16,702","16,707","15,899","14,715","14,394",-321,-2.20%,106
"116 St (B,C)",,M,"7,005","7,215","7,417","7,232","7,613","7,249",-364,-4.80%,211
116 St-Columbia University (1),,M,"16,460","16,132","15,861","15,263","15,079","14,777",-302,-2.00%,101
125 St (1),,M,"8,077","7,991","7,794","7,584","7,679","7,599",-80,-1.00%,199
"125 St (2,3)",,M,"15,744","15,986","15,719","15,692","14,746","14,703",-43,-0.30%,103
"125 St (4,5,6)",,M,"30,168","30,277","30,024","29,065","27,605","27,231",-374,-1.40%,38
"125 St (A,B,C,D)",,M,"28,428","29,062","29,423","28,680","27,677","28,267",590,2.10%,36
"135 St (2,3)",,M,"15,335","15,598","15,446","15,023","14,343","13,799",-544,-3.80%,114
"135 St (B,C)",,M,"5,620","5,575","5,785","5,770","5,490","5,657",167,3.00%,265
137 St-City College (1),,M,"14,768","14,798","14,460","14,049","13,371","12,464",-907,-6.80%,126
"14 St (A,C,E)/8 Av (L)",,M,"43,953","45,253","44,680","43,434","44,031","44,370",339,0.80%,18
"14 St (F,M,1,2,3)/6 Av (L)",,M,"49,990","50,335","50,692","48,565","48,508","46,363","-2,145",-4.40%,17
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",,M,"109,472","108,440","106,718","107,141","103,572","101,832","-1,740",-1.70%,4
145 St (1),,M,"10,099","10,112","10,039","9,863","9,433","9,219",-214,-2.30%,173
145 St (3),66,M,"3,631","3,664","3,590","3,540","2,105","3,193","1,088",51.70%,366
"145 St (A,B,C,D)",,M,"23,805","24,307","24,604","23,932","23,047","22,937",-110,-0.50%,57
"155 St (B,D)",,M,"4,022","4,038","4,052","3,804","3,595","3,556",-39,-1.10%,347
155 St (C),,M,"2,586","2,596","2,733","2,715","3,168","2,732",-436,-13.80%,379
157 St (1),,M,"10,822","10,918","10,928","10,802","11,036","12,042","1,006",9.10%,128
163 St-Amsterdam Av (C),67,M,"4,271","4,340","4,513","4,436","1,711","4,289","2,578",150.60%,320
"168 St (A,C,1)",68,M,"25,659","25,845","25,879","25,589","26,138","20,079","-6,059",-23.20%,67
175 St (A),,M,"13,460","13,224","13,377","13,217","12,580","13,144",564,4.50%,118
18 St (1),,M,"8,638","8,800","8,903","8,680","8,860","8,843",-17,-0.20%,177
181 St (1),,M,"11,673","11,850","11,578","11,693","11,342","11,311",-31,-0.30%,137
181 St (A),,M,"10,861","11,237","11,294","10,981","10,760","10,542",-218,-2.00%,152
190 St (A),,M,"4,549","4,683","4,748","4,719","4,574","4,805",231,5.10%,295
191 St (1),,M,"8,580","8,619","8,545","8,419","8,032","7,525",-507,-6.30%,200
2 Av (F),,M,"17,183","17,355","17,059","16,675","15,995","16,703",708,4.40%,86
207 St (1),,M,"6,336","6,514","6,562","6,524","6,349","5,890",-459,-7.20%,256
215 St (1),,M,"2,057","2,012","2,001","1,988","1,787","1,718",-69,-3.90%,407
23 St (1),,M,"15,542","15,451","15,062","14,763","15,470","14,824",-646,-4.20%,100
23 St (6),,M,"31,212","29,972","29,452","28,479","31,597","30,031","-1,566",-5.00%,33
"23 St (C,E)",,M,"25,620","25,731","24,569","24,161","24,397","23,890",-507,-2.10%,51
"23 St (F,M)",69,M,"29,327","30,652","31,078","30,758","18,416","28,776","10,360",56.30%,34
"23 St (R,W)",,M,"24,060","25,973","26,693","25,007","26,381","23,398","-2,983",-11.30%,55
28 St (1),,M,"15,568","15,620","15,253","14,740","14,797","15,083",286,1.90%,97
28 St (6),70,M,"23,856","24,470","24,130","23,081","12,019","19,766","7,747",64.50%,70
"28 St (R,W)",,M,"12,407","13,271","13,680","13,256","14,302","13,144","-1,158",-8.10%,119
3 Av (L),,M,"7,193","7,140","7,179","6,934","6,749","5,725","-1,024",-15.20%,262
33 St (6),,M,"32,863","32,809","32,153","30,040","32,608","30,368","-2,240",-6.90%,32
