Station (alphabetical by borough),,Boro,2014,2015,2016,2017,2018,2019,2018-2019 Change,,2019 Rank
Sutter Av-Rutland Rd (3),60,B,"7,490","6,748","5,547","3,157","4,977","5,576",599,12.00%,264
Union St (R),,B,"7,992","7,252","6,713","5,744","6,500","7,295",795,12.20%,211
"Utica Av (A,C)",,B,"18,822","19,583","19,318","20,225","20,086","19,198",-888,-4.40%,77
Van Siclen Av (3),61,B,"3,159",967,"3,205","2,681","2,087","2,390",303,14.50%,376
Van Siclen Av (C),,B,"3,488","3,718","3,563","3,618","3,406","3,204",-202,-5.90%,348
"Van Siclen Av (J,Z)",,B,"3,562","3,681","3,663","3,145","2,511","2,300",-211,-8.40%,381
"West 8 St-New York Aquarium (F,Q)",62,B,"2,967","3,138","3,175","3,146","3,382","3,728",346,10.20%,329
Wilson Av (L),63,B,"5,689","5,011","4,496","5,735","5,153","3,605","-1,548",-30.00%,334
"Winthrop St (2,5)",,B,"5,481","5,868","5,327","5,306","5,329","4,147","-1,182",-22.20%,319
York St (F),,B,"8,783","9,691","12,521","9,945","8,199","13,024","4,825",58.80%,124
Manhattan,,,,,,,,,,,
1 Av (L),,M,"35,580","30,185","32,170","28,252","25,688","12,273","-13,415",-52.20%,137
103 St (1),,M,"14,644","15,829","16,603","15,650","16,156","12,862","-3,294",-20.40%,127
103 St (6),64,M,"17,608","13,014","13,963","13,920","12,523","12,370",-153,-1.20%,135
"103 St (B,C)",,M,"5,947","5,458","4,817","5,191","4,438","5,460","1,022",23.00%,269
110 St (6),,M,"14,381","14,497","14,600","12,893","11,584","11,427",-157,-1.40%,153
"116 St (2,3)",,M,"15,500","15,487","14,435","14,583","13,266","11,877","-1,389",-10.50%,145
116 St (6),,M,"20,611","19,593","19,733","18,846","17,222","16,679",-543,-3.20%,91
"116 St (B,C)",,M,"8,287","7,514","7,077","7,673","5,946","8,193","2,247",37.80%,192
116 St-Columbia University (1),,M,"13,256","13,547","13,853","13,115","12,956","11,332","-1,624",-12.50%,154
125 St (1),,M,"9,469","9,482","9,797","9,379","9,312","7,890","-1,422",-15.30%,199
"125 St (2,3)",,M,"20,142","19,311","17,940","19,660","17,929","16,510","-1,419",-7.90%,93
"125 St (4,5,6)",,M,"34,840","34,541","32,501","31,307","29,461","29,884",423,1.40%,33
"125 St (A,B,C,D)",,M,"38,766","39,729","38,587","37,694","36,704","37,179",475,1.30%,27
"135 St (2,3)",,M,"18,837","17,916","16,887","17,462","15,693","13,775","-1,918",-12.20%,112
"135 St (B,C)",,M,"5,529","5,036","4,743","5,127","4,123","5,624","1,501",36.40%,262
137 St-City College (1),,M,"14,213","16,107","16,055","15,844","15,939","12,819","-3,121",-19.60%,128
"14 St (A,C,E)/8 Av (L)",,M,"58,298","59,900","58,605","57,625","57,748","54,522","-3,226",-5.60%,13
"14 St (F,M,1,2,3)/6 Av (L)",,M,"64,712","61,431","59,127","52,840","49,334","54,442","5,108",10.40%,14
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",,M,"144,539","143,123","130,777","135,996","125,348","119,876","-5,472",-4.40%,3
145 St (1),,M,"14,487","13,951","14,015","12,936","12,216","10,714","-1,502",-12.30%,156
145 St (3),66,M,"3,495","3,738","3,133","3,561","1,837","2,610",773,42.10%,367
"145 St (A,B,C,D)",,M,"31,573","31,882","30,729","29,988","28,847","29,978","1,131",3.90%,32
"155 St (B,D)",,M,"4,998","5,059","4,996","4,448","3,649","3,989",340,9.30%,322
155 St (C),,M,"3,563","3,326","3,368","3,609","3,546","3,680",134,3.80%,332
157 St (1),,M,"13,190","13,403","13,735","13,683","12,999","12,229",-770,-5.90%,139
163 St-Amsterdam Av (C),67,M,"5,553","5,302","5,471","5,669","2,016","5,491","3,475",172.40%,267
"168 St (A,C,1)",68,M,"28,757","26,334","29,950","26,637","27,468","19,246","-8,222",-29.90%,76
175 St (A),,M,"13,877","15,221","11,504","13,754","12,478","15,379","2,901",23.20%,98
18 St (1),,M,"7,883","8,145","7,759","7,274","7,993","7,434",-559,-7.00%,206
181 St (1),,M,"14,173","13,860","14,919","14,196","13,206","11,647","-1,559",-11.80%,147
181 St (A),,M,"12,667","14,129","10,509","12,101","11,606","13,313","1,707",14.70%,117
190 St (A),,M,"5,531","6,230","4,546","5,410","4,762","5,768","1,006",21.10%,257
191 St (1),,M,"9,380","9,434","10,023","9,547","8,866","7,550","-1,316",-14.80%,204
2 Av (F),,M,"25,696","26,503","26,234","20,998","17,746","24,564","6,818",38.40%,41
207 St (1),,M,"7,954","7,858","8,673","8,116","7,442","6,425","-1,017",-13.70%,236
215 St (1),,M,"1,893","1,910","2,342","2,108","1,822","1,663",-159,-8.70%,400
23 St (1),,M,"17,167","17,640","15,941","14,948","17,044","15,824","-1,220",-7.20%,96
23 St (6),,M,"20,246","18,388","19,249","19,273","18,454","18,893",439,2.40%,79
"23 St (C,E)",,M,"25,870","23,887","23,549","23,444","22,387","22,064",-323,-1.40%,56
"23 St (F,M)",69,M,"22,545","21,257","19,973","15,508","7,665","24,089","16,424",214.30%,45
"23 St (R,W)",,M,"22,743","25,157","24,898","24,108","26,807","20,974","-5,833",-21.80%,65
28 St (1),,M,"13,004","12,742","12,098","11,152","12,526","12,025",-501,-4.00%,142
28 St (6),70,M,"19,026","18,121","18,646","17,989","8,448","14,924","6,476",76.70%,101
"28 St (R,W)",,M,"11,795","13,006","13,195","12,887","14,910","12,397","-2,513",-16.90%,133
